,Unnamed: 0_our,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_our,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_our,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_our,WEST ZONE:Zone Air Temperature [C](TimeStep)_our,EAST ZONE:Zone Air Temperature [C](TimeStep)_our,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly)_our,CH4:Facility [kg](Hourly)_our,PM2.5:Facility [kg](Hourly)_our,SO2:Facility [kg](Hourly)_our,NOx:Facility [kg](Hourly)_our,Reward_our,Unnamed: 0_easy,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_easy,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_easy,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_easy,WEST ZONE:Zone Air Temperature [C](TimeStep)_easy,EAST ZONE:Zone Air Temperature [C](TimeStep)_easy,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy,Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly)_easy,CH4:Facility [kg](Hourly)_easy,PM2.5:Facility [kg](Hourly)_easy,SO2:Facility [kg](Hourly)_easy,NOx:Facility [kg](Hourly)_easy,Reward_easy
0,0, 01/01  01:00:00,7.2,69623.48699961459,11.505701728346668,17.500635437314294,19.69002994130178,9.99999999999998,9.99999999999998,4.056255999999998,4.391760249999998,0.0105425109388187,0.0003505459579234,0.0028918616614396,0.2169907596851881,0.1029530021599897,-1.3260743164315587,0,7.2,73944.5819,12.21978876,18.74064035,22.15769344,15.817457,15.457001,6.238913033,6.475,0.011196819,0.000372302,0.003071341,0.230458021,0.109342652,-0.525761542
1,1, 01/01  02:00:00,7.2,44389.80752861615,7.335683793111393,16.672697706100323,17.668087137517144,10.0,10.707289,3.5885345,4.2416585,0.0067215827820443,0.0002234973896415,0.0018437626163624,0.1383466768616029,0.0656396878024859,-1.6057409441064368,1,7.2,83487.49945,13.79681352,19.69262318,22.28718949,15.998413,15.655338,6.238913033,6.475,0.012641824,0.00042035,0.003467713,0.260199779,0.123453867,-0.515859645
2,2, 01/01  03:00:00,6.7,44417.01347213552,7.340179739592413,16.402245148037366,17.594324752684223,10.0,10.0,3.45179475,4.022133999999999,0.0067257023538944,0.0002236343683241,0.0018448926348148,0.1384314677648832,0.0656799175249922,-1.6195789568357362,2,6.7,84827.97981,14.01833599,19.70668216,22.21003719,15.927632,15.61203,6.238913033,6.475,0.012844802,0.000427099,0.003523391,0.264377562,0.12543605,-0.517520263
3,3, 01/01  04:00:00,6.1,45619.55471740755,7.538906943304733,15.828886423537435,17.386392667540868,10.0,10.0,3.659259,4.18013625,0.0069077932657261,0.0002296890201512,0.0018948410512669,0.1421793458102014,0.0674581282518214,-1.7428863534362755,3,6.1,85895.51227,14.19475218,20.14287767,22.2637784,15.948558,15.591148,6.238913033,6.475,0.01300645,0.000432474,0.003567732,0.267704668,0.127014622,-0.533871658
4,4, 01/01  05:00:00,4.4,42544.75312049297,7.030777408681755,15.553117570980875,17.1319515113129,10.0,10.0,3.77462825,4.1777715,0.0064422013962705,0.0002142077606271,0.0017671269530819,0.132596321989527,0.0629113859226066,-1.7371749621059789,4,4.4,83260.20446,13.75925165,20.93030214,22.25973615,15.945735,15.598265,6.238913033,6.475,0.012607407,0.000419205,0.003458273,0.259491384,0.123117764,-0.541657158
5,5, 01/01  06:00:00,4.4,42290.26925050064,6.988722412171405,15.80053528776632,16.95029833583637,10.0,10.0,3.63455325,4.167506250000001,0.0064036670007846,0.0002129264646761,0.0017565567823134,0.1318031895186185,0.0625350778756231,-1.7310966567660413,5,4.4,84664.08657,13.99125165,20.26966878,22.25272545,15.948304,15.597633,6.238913033,6.475,0.012819985,0.000426274,0.003516584,0.263866768,0.125193699,-0.49123328
6,6, 01/01  07:00:00,6.1,67484.54537963383,11.152228707180956,18.988006294228004,19.394059949592258,10.0,10.0,3.71608475,4.25837325,0.010218628634184,0.0003397766418286,0.0028030191812157,0.2103244666418007,0.0997901260859546,-1.4463535991815415,6,6.1,106247.6295,17.55806247,21.93642014,23.28008399,15.479811,15.134183,6.238913033,6.475,0.016088203,0.000534944,0.004413072,0.33113472,0.157109517,0.422317193
7,7, 01/01  08:00:00,5.0,70952.54828225053,11.72533713237042,19.063709200317,19.785871686069008,10.0,10.0,3.51811075,4.25941425,0.0107437597373833,0.0003572376230573,0.002947065178738,0.2211329540769877,0.1049182994324852,-1.4535005850150018,7,5.0,108770.837,17.97503776,21.8332708,23.55161822,15.453243,15.094966,6.238913033,6.475,0.016470272,0.000547648,0.004517875,0.338998628,0.160840611,0.570336884
8,8, 01/01  09:00:00,7.8,94934.7835478737,15.688546354379426,21.94476470026237,23.81425509170273,10.0,10.0,3.7213315,4.01129475,0.014375192010038,0.0004779853189373,0.003943184587705,0.2958767463444632,0.1403810897279031,0.1863267469182085,8,7.8,129286.3285,21.36534663,23.591722,24.62547529,14.96576,14.610281,6.238913033,6.475,0.019576763,0.000650941,0.005370001,0.402937857,0.19117709,0.172756951
9,9, 01/01  10:00:00,8.9,96691.83226634476,15.978909267070277,22.27565791288809,22.893908946752973,10.0,10.0,3.687893,4.25287375,0.0146412474193947,0.0004868318497946,0.0040161648713018,0.3013528199031896,0.1429792566440324,0.2572035693658258,9,8.9,132194.4407,21.84592974,23.02753474,24.93590229,14.896346,14.534622,6.238913033,6.475,0.020017115,0.000665583,0.005490791,0.412001371,0.195477347,-0.230560838
